is_training,render,is_slippery,n_episodes,map_name,seed,learning_rate_a,discount_factor_gamma,epsilon,epsilon_decay_rate,rewards_per_episode,sum_rewards
True,False,True,15000,8x8,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 1. 0. 0.],[ 0.  0.  0. ... 58. 58. 58.]
True,False,True,15000,9x9,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 12. 11. 11.]
True,False,True,15000,9x9,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 8. 8. 8.]
True,False,True,15000,9x9,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 13. 13. 13.]
True,False,True,15000,9x9,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 5. 4. 4.]
True,False,True,15000,9x9,20,0.1,0.5,1,0.0001,[0. 0. 0. ... 0. 1. 0.],[0. 0. 0. ... 6. 7. 7.]
True,False,True,15000,9x9,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 1. 0. 0.],[ 0.  0.  0. ... 86. 85. 84.]
True,False,True,15000,9x9,20,0.9,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 8. 8. 7.]
True,False,True,15000,9x9,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 19. 18. 18.]
True,False,True,15000,9x9,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 1. 1. 1.],[ 0.  0.  0. ... 48. 49. 49.]
True,False,True,15000,10x10,20,0.01,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.01,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 4. 4. 4.]
True,False,True,15000,10x10,20,0.01,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.1,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.1,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.1,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.9,0.01,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 5. 5. 5.]
True,False,True,15000,10x10,20,0.9,0.5,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
True,False,True,15000,10x10,20,0.9,0.95,1,0.0001,[0. 0. 0. ... 0. 0. 0.],[ 0.  0.  0. ... 29. 29. 29.]
